Invoice Date,Invoice Amount
2/13/2021,"$33,804.16"
2/15/2021,"$1,323.00"
2/16/2021,"$39,720.17"
2/17/2021,"$17,666.74"
2/19/2021,"$134,885.26"
2/22/2021,"$35,457.31"
2/25/2021,"$31,173.89"
3/2/2021,"$1,702.68"
3/3/2021,"$1,397.25"
3/6/2021,"$12,003.40"
3/12/2021,"$7,106.52"
3/13/2021,"$38,975.31"
3/14/2021,"$9,023.75"
3/16/2021,"$13,441.77"
3/19/2021,"$8,957.66"
3/20/2021,"$18,323.78"
3/22/2021,"$123,926.00"
3/24/2021,"$8,386.24"
3/29/2021,"$1,899.66"
4/5/2021,"$3,072.00"
4/6/2021,"$29,243.64"
4/7/2021,"$36,036.92"
4/8/2021,"$44,798.19"
4/10/2021,"$29,664.51"
4/12/2021,"$16,381.65"
4/13/2021,"$2,941.19"
4/16/2021,"$5,669.09"
4/17/2021,"$32,606.67"
4/18/2021,"$13,175.25"
4/19/2021,"$148,330.20"
4/20/2021,"$15,800.33"
4/26/2021,"$39,572.61"
4/28/2021,$882.75
5/1/2021,$837.60
5/3/2021,$601.50
5/10/2021,"$2,096.06"
5/11/2021,"$2,116.75"
5/12/2021,"$12,355.20"
5/15/2021,"$25,434.03"
5/16/2021,"$58,053.52"
5/21/2021,"$66,796.98"
5/22/2021,"$13,270.57"
5/24/2021,"$89,254.09"
5/25/2021,$600.00
5/26/2021,"$12,654.72"
6/1/2021,"$13,216.38"
6/2/2021,$606.25
6/4/2021,"$1,176.59"
6/7/2021,"$1,893.15"
6/9/2021,"$3,472.27"
6/11/2021,"$30,415.10"
6/14/2021,"$25,132.82"
6/15/2021,"$91,554.07"
6/16/2021,"$1,255.50"
6/17/2021,"$36,246.04"
6/18/2021,"$25,906.12"
6/21/2021,"$96,301.79"
6/22/2021,$637.50
6/23/2021,"$5,220.92"
7/1/2021,$693.75
7/5/2021,"$33,659.08"
7/6/2021,"$32,052.40"
7/7/2021,"$25,923.40"
7/8/2021,"$12,390.11"
7/12/2021,"$49,012.78"
7/13/2021,"$18,195.45"
7/15/2021,"$17,234.26"
7/17/2021,"$9,545.14"
7/20/2021,"$183,986.84"
7/22/2021,"$1,889.16"
7/23/2021,"$31,710.21"
7/27/2021,"$11,611.58"
7/28/2021,"$13,400.57"
7/29/2021,"$39,561.04"
8/3/2021,"$33,572.88"
8/4/2021,"$13,526.00"
8/5/2021,$453.70
8/6/2021,"$2,479.86"
8/12/2021,$725.00
8/15/2021,"$40,094.50"
8/17/2021,"$43,200.00"
8/18/2021,"$72,872.72"
8/20/2021,"$1,701.00"
8/21/2021,"$15,416.34"
8/24/2021,"$11,997.03"
8/25/2021,"$26,039.52"
8/26/2021,"$82,749.94"
8/27/2021,"$51,818.00"
8/31/2021,"$27,467.44"
9/1/2021,"$1,381.25"
9/3/2021,"$43,359.43"
9/15/2021,"$91,537.31"
9/16/2021,"$114,179.73"
9/17/2021,"$28,103.36"
9/18/2021,"$72,252.45"
9/22/2021,"$8,355.46"
9/23/2021,"$35,471.80"
9/29/2021,"$1,890.00"
10/7/2021,$446.42
10/8/2021,$855.87
10/9/2021,"$18,627.22"
10/10/2021,"$9,368.88"
10/11/2021,"$53,094.06"
10/12/2021,"$103,474.13"
10/13/2021,"$13,812.64"
10/14/2021,"$30,586.92"
10/16/2021,"$35,394.92"
10/17/2021,"$14,067.71"
10/18/2021,"$11,108.16"
10/21/2021,"$2,256.00"
10/25/2021,"$1,690.00"
10/27/2021,"$31,866.78"
10/28/2021,"$6,999.91"
11/1/2021,"$19,863.31"
11/2/2021,"$2,777.36"
11/3/2021,$715.00
11/5/2021,"$1,078.05"
11/8/2021,"$3,254.50"
11/9/2021,"$138,410.94"
11/10/2021,"$16,609.68"
11/11/2021,"$17,763.32"
11/12/2021,"$16,493.76"
11/13/2021,"$13,017.11"
11/15/2021,"$1,156.10"
11/20/2021,"$67,832.94"
11/23/2021,"$3,443.00"
11/27/2021,"$40,558.33"
11/30/2021,$730.20
12/2/2021,"$1,313.40"
12/3/2021,$275.60
12/6/2021,"$1,248.00"
12/8/2021,"$3,850.75"
12/20/2021,$766.60
12/28/2021,"$43,206.83"
12/29/2021,"$105,532.08"
1/1/2022,"$34,424.39"
1/2/2022,"$21,861.66"
1/3/2022,"$1,512.00"
1/4/2022,"$16,480.90"
1/5/2022,"$20,178.41"
1/6/2022,"$17,773.39"
1/7/2022,"$35,503.70"
1/10/2022,"$1,592.18"
1/11/2022,"$94,352.69"
1/12/2022,"$12,769.76"
1/16/2022,"$54,491.75"
1/17/2022,"$51,857.44"
1/18/2022,"$1,620.00"
1/21/2022,"$26,510.00"
1/22/2022,"$48,137.33"
1/25/2022,"$12,778.55"
1/31/2022,"$19,355.98"
2/1/2022,"$23,191.72"
2/2/2022,"$8,763.07"
2/3/2022,"$7,113.60"
2/9/2022,$735.40
2/11/2022,"$9,916.66"
2/15/2022,"$75,068.65"
2/16/2022,"$90,314.88"
2/17/2022,"$60,554.08"
2/19/2022,"$12,266.45"
2/26/2022,"$50,016.67"
2/28/2022,"$10,989.85"
3/1/2022,"$7,387.20"
3/2/2022,"$15,796.59"
3/3/2022,"$3,643.08"
3/4/2022,"$1,572.75"
3/7/2022,"$3,842.81"
3/9/2022,$540.39
3/11/2022,"$44,026.21"
3/12/2022,"$18,720.35"
3/14/2022,"$92,168.75"
3/15/2022,"$6,266.34"
3/17/2022,"$20,765.60"
3/19/2022,"$37,274.05"
3/22/2022,"$26,281.91"
3/28/2022,"$34,764.20"
3/29/2022,"$6,703.20"
4/4/2022,"$13,669.17"
4/8/2022,$403.86
4/9/2022,"$12,625.00"
4/10/2022,"$5,080.30"
4/13/2022,"$24,157.04"
4/14/2022,"$161,369.08"
4/15/2022,"$13,871.52"
4/16/2022,"$50,717.15"
4/17/2022,"$33,355.25"
4/18/2022,"$5,184.00"
4/19/2022,"$4,760.40"
4/25/2022,"$12,377.55"
5/3/2022,"$36,794.31"
5/5/2022,"$142,368.52"
5/6/2022,"$5,898.45"
5/7/2022,"$30,517.15"
5/10/2022,"$3,105.75"
5/12/2022,"$29,784.90"
5/14/2022,"$45,338.58"
5/16/2022,"$4,656.10"
5/17/2022,"$33,747.52"
5/21/2022,"$6,610.45"
5/28/2022,"$4,959.50"
6/1/2022,"$4,671.00"
6/3/2022,"$1,620.00"
6/9/2022,"$118,768.61"
6/10/2022,$602.00
6/11/2022,"$8,620.35"
6/12/2022,"$12,483.60"
6/13/2022,"$27,066.10"
6/14/2022,"$1,702.51"
6/16/2022,"$45,652.15"
6/17/2022,"$52,626.05"
6/18/2022,"$6,842.75"
6/20/2022,"$10,221.94"
6/21/2022,"$35,899.01"
6/22/2022,"$18,293.10"
6/23/2022,"$11,202.88"
6/24/2022,"$10,519.20"
6/29/2022,"$1,942.50"
7/5/2022,"$125,173.65"
7/6/2022,"$132,391.26"
7/10/2022,$234.50
7/12/2022,"$67,604.35"
7/16/2022,"$11,160.50"
7/29/2022,"$3,552.75"
8/1/2022,"$11,447.97"
8/3/2022,$75.66
8/5/2022,"$40,225.63"
8/9/2022,"$46,450.74"
8/10/2022,"$157,358.04"
8/11/2022,"$2,400.00"
8/15/2022,"$41,676.48"
8/16/2022,"$2,360.70"
8/19/2022,"$2,646.00"
8/22/2022,"$134,565.53"
8/24/2022,"$1,367.70"
8/30/2022,$647.06
9/1/2022,"$10,204.28"
9/13/2022,"$37,843.18"
9/14/2022,"$144,140.76"
9/15/2022,"$3,701.65"
9/16/2022,"$56,393.35"
9/17/2022,"$86,143.38"
9/20/2022,"$2,457.42"
9/21/2022,"$20,116.96"
9/22/2022,"$2,502.50"
10/1/2022,"$37,681.97"
10/3/2022,"$1,505.25"
10/4/2022,"$5,104.20"
10/7/2022,"$1,596.42"
10/10/2022,"$120,606.70"
10/12/2022,"$107,770.23"
10/13/2022,"$51,696.85"
10/19/2022,"$1,891.26"
10/28/2022,"$1,512.63"
10/31/2022,"$3,127.50"
11/1/2022,"$1,566.00"
11/2/2022,"$2,322.90"
11/7/2022,"$230,985.96"
11/8/2022,"$98,401.55"
11/9/2022,"$28,732.00"
11/12/2022,"$80,808.42"
11/13/2022,"$19,634.40"
11/14/2022,"$21,406.95"
11/19/2022,"$42,930.05"
12/1/2022,"$8,407.98"
12/6/2022,"$1,572.75"
12/21/2022,"$170,867.93"
12/23/2022,"$3,403.47"
12/25/2022,"$10,312.10"
12/26/2022,"$34,478.72"
12/29/2022,"$39,659.18"
12/31/2022,"$43,091.65"
