Invoice Date,Invoice Amount
6/26/2022,"$21,142.98"
7/7/2022,"$22,314.80"
7/12/2022,"$20,167.80"
7/13/2022,$411.00
7/15/2022,$122.40
7/21/2022,"$19,106.00"
7/22/2022,$504.00
7/25/2022,"$20,798.30"
8/3/2022,"$19,713.90"
8/8/2022,"$14,810.78"
8/9/2022,"$5,667.00"
8/16/2022,"$19,273.40"
8/22/2022,"$19,994.50"
9/1/2022,"$20,967.52"
9/7/2022,"$21,552.40"
9/14/2022,"$22,562.80"
9/20/2022,"$22,609.30"
9/30/2022,"$22,975.10"
10/4/2022,"$19,640.90"
10/12/2022,"$24,513.30"
10/18/2022,"$24,198.90"
10/27/2022,"$5,352.60"
10/28/2022,"$19,092.70"
11/2/2022,"$24,166.10"
11/12/2022,"$25,168.95"
11/14/2022,"$26,073.74"
11/22/2022,"$27,659.20"
11/27/2022,"$27,013.90"
12/13/2022,"$42,908.80"
12/14/2022,"$12,844.80"
12/22/2022,"$26,656.50"
12/27/2022,"$25,653.10"
1/5/2023,"$26,461.70"
1/9/2023,"$19,356.20"
1/10/2023,"$5,859.50"
1/12/2023,$780.00
1/21/2023,"$24,983.40"
1/22/2023,$105.00
1/23/2023,"$24,763.20"
2/3/2023,"$24,958.30"
2/7/2023,"$12,060.30"
2/8/2023,"$12,782.00"
2/15/2023,"$26,281.90"
2/22/2023,"$6,433.50"
3/3/2023,"$7,312.50"
3/6/2023,"$7,520.50"
3/15/2023,"$49,910.20"
3/17/2023,"$24,252.40"
3/21/2023,"$11,841.90"
3/23/2023,"$11,361.40"
3/27/2023,"$11,800.00"
3/31/2023,"$12,597.70"
4/4/2023,"$17,246.00"
4/5/2023,"$7,939.50"
4/11/2023,"$4,774.20"
4/12/2023,"$13,115.00"
4/13/2023,"$6,844.50"
4/18/2023,"$24,650.70"
4/25/2023,"$25,728.30"
5/2/2023,"$25,921.30"
5/3/2023,$868.00
5/10/2023,"$25,502.30"
5/17/2023,"$28,401.70"
5/24/2023,"$26,858.30"
5/30/2023,"$5,336.80"
5/31/2023,"$21,579.50"
6/6/2023,"$25,941.70"
6/13/2023,"$18,492.60"
6/14/2023,"$7,258.10"
6/22/2023,$0.00
6/23/2023,"$25,407.90"
6/27/2023,"$24,767.30"
6/28/2023,$500.00
7/6/2023,"$24,914.65"
7/11/2023,"$26,102.10"
7/19/2023,"$25,140.50"
7/25/2023,"$24,929.10"
7/26/2023,$278.80
8/1/2023,"$17,501.20"
8/2/2023,"$7,390.50"
8/7/2023,"$23,771.90"
8/11/2023,"$1,144.00"
8/16/2023,"$24,662.50"
8/18/2023,$428.80
